id;qtdCommitContributions;qtdIssueContributions;qtdPullRequestContributions;qtdPullRequestReviewContributions;qtdRepositoriesWithContributedCommits;qtdRepositoriesWithContributedIssues;qtdRepositoriesWithContributedPullRequestReviews;qtdRepositoryContributions;qtdRepositoriesWithContributedPullRequests;qtdissue;qtdIssueClosed;qtdIssueOpen;QTdtoalComentsIssue;avgIssueComment;QtdIssueReaction;qtdIssueReactionHeatr;issueReactionthumbsUP;qtsIssueReactionHooray;qtdRepository;qtdTotalStars;avgQtdSTartRepository;QtdtotalWatchers;avgQtdWatchersRepository;qtdRepositoryLanguages;qtdPullRequests;qtdPullRequestsmergedAndClosed;qtdpullrequestsclosedandnotmerged;qtdpullrequestnotmergedandopen;sum(ncloc);avg(ncloc);avg(qtdBugs);sum(qtdBugs);sum(qtdCodeSmells);avg(qtdCodeSmells);avg(reliabilityRating);sum(qtdDuplicatedFiles);avg(qtdDuplicatedFiles);sum(commentLinesDensity);avg(commentLinesDensity);sum(fileComplexity);avg(fileComplexity);sum(qtdViolation);avg(manutenibilityRating);avg(securityRating);qtdFollowers;Expertise
266;1074;6;53;28;31;4;11;16;12;100;71;29;153;1.53;35;3;27;4;100;6549;65;446;4.46;226;321;238;59;24;6015;3007.5;3;6;16;8;2;2;1;1.200000018;0.600000009;15.09999967;7.549999833;24;1;2.5;4833;2
268;34;1;15;12;5;1;4;0;4;97;86;11;452;4.6598;35;0;35;0;76;12572;165;268;3.5263;211;655;436;182;37;294;294;4;4;0;0;3;0;0;6.099999905;6.099999905;1.799999952;1.799999952;4;1;1;590;3
303;136;0;2;0;6;0;0;5;2;0;0;0;0;0;0;0;0;0;44;3431;78;287;6.5227;66;16;3;4;9;94;94;0;0;6;6;1;0;0;13.80000019;13.80000019;15;15;6;1;1;448;1
309;11;0;0;0;3;0;0;2;0;26;13;13;2;0.0769;0;0;0;0;65;797;12.2615;182;2.8;119;51;33;6;12;3241;1620.5;1;2;45;22.5;2;0;0;65.19999886;32.59999943;11.0999999;5.549999952;47;1;1;48;2
311;2;0;1;0;2;0;0;3;1;0;0;0;0;0;0;0;0;0;43;568;13;54;1.2558;95;77;67;5;5;398;398;0;0;1;1;1;0;0;9.800000191;9.800000191;7.099999905;7.099999905;1;1;1;32;1
313;1;0;0;0;1;0;0;0;0;12;5;7;7;0.5833;0;0;0;0;19;1112;59;105;5.5263;56;145;118;23;4;58627;58627;21;21;519;519;5;16;16;20.70000076;20.70000076;27.20000076;27.20000076;549;1;3;165;5
316;209;18;1;0;29;6;0;11;1;100;43;57;177;1.77;8;0;8;0;100;1068;10.68;178;1.78;191;144;29;18;97;1339;1339;0;0;6;6;1;0;0;25.89999962;25.89999962;11;11;6;1;1;243;1
323;0;5;0;0;0;3;0;1;0;29;19;10;98;3.3793;0;0;0;0;58;1080;19;92;1.5862;135;2;1;0;1;312;312;1;1;24;24;5;0;0;9.800000191;9.800000191;12.80000019;12.80000019;25;1;1;281;5
329;8;0;3;1;2;0;1;0;2;6;5;1;35;5.8333;0;0;0;0;35;608;17;57;1.6286;84;118;103;9;6;3289;3289;1;1;76;76;3;4;4;10.39999962;10.39999962;10.80000019;10.80000019;77;1;1;44;3
332;0;1;0;0;0;1;0;1;0;10;4;6;14;1.4;5;0;5;0;13;592;46;72;5.5385;43;81;33;36;12;6626;6626;0;0;45;45;1;4;4;15.60000038;15.60000038;11.69999981;11.69999981;45;1;1;19;1
333;522;86;7;2;16;15;2;7;4;100;90;10;55;0.55;0;0;0;0;39;1096;28;112;2.8718;72;45;40;2;3;111;111;1;1;1;1;2;0;0;0;0;1;1;2;1;1;227;2
351;39;1;5;2;4;1;1;6;2;7;4;3;10;1.4286;2;0;2;0;85;602;7.0824;44;0.5176;215;28;25;2;1;1178;1178;0;0;11;11;1;0;0;20.60000038;20.60000038;24.20000076;24.20000076;11;1;1;38;1
