qtdActivityPostAnswer;QtdfActivityBadgeEarned;QtdActivityCommentPosted;qtsActivityQUestionPosted;qtdANswe;qtdTotalScoreAnswer;avgScoreANsw;qtdTotalBadges;QtdTotalBadgesBronze;qtdTotalBadgesSilver;qtdTotalBadgesGo;qtdComment;qtdTotalScoreCommen;AvgScoreCommen;qtdQuestion;QtdTotalScoreQuesdti;avgScoreQuesti;QtdTotalViewsQuestion;avgQTdViewsQUesti;userScore;qtdCommitContributions;qtdIssueContributions;qtdPullRequestContributions;qtdPullRequestReviewContributions;qtdRepositoriesWithContributedCommits;qtdRepositoriesWithContributedIssues;qtdRepositoriesWithContributedPullRequestReviews;qtdRepositoryContributions;qtdRepositoriesWithContributedPullRequests;qtdissue;qtdIssueClosed;qtdIssueOpen;QTdtoalComentsIssue;avgIssueComment;QtdIssueReaction;qtdIssueReactionHeatr;issueReactionthumbsUP;qtsIssueReactionHooray;qtdRepository;qtdTotalStars;avgQtdSTartRepository;QtdtotalWatchers;avgQtdWatchersRepository;qtdRepositoryLanguages;qtdPullRequests;qtdPullRequestsmergedAndClosed;qtdpullrequestsclosedandnotmerged;qtdpullrequestnotmergedandopen;sum(ncloc);avg(ncloc);avg(qtdBugs);sum(qtdBugs);sum(qtdCodeSmells);avg(qtdCodeSmells);avg(reliabilityRating);sum(qtdDuplicatedFiles);avg(qtdDuplicatedFiles);sum(commentLinesDensity);avg(commentLinesDensity);sum(fileComplexity);avg(fileComplexity);sum(qtdViolation);avg(manutenibilityRating);avg(securityRating);qtdFollowers
8;4;1;3;1;0;0;4;4;0;0;1;0;0;2;1;0,5;546;273;5;28;13;19;0;6;12;0;13;11;74;60;14;265;3,58;5;0;5;0;77;471;6,12;72;0,94;283;45;40;0;5;84239;84239;842;842;1253;1253;5;144;144;21,4;21,4;33;33;2095;1;1;36
0;0;0;0;1;3;3;1;1;0;0;0;0;0;0;0;0;0;0;3;1164;21;137;55;187;18;32;94;66;100;70;30;436;4,36;0;0;0;0;100;706;7,06;152;1,52;207;27;20;1;6;170;170;0;0;2;2;1;0;0;0;0;40;40;2;1;1;7238
80;15;37;28;1;1;1;12;9;2;1;6;0;0;3;-5;-1,67;111269;37089,67;12;429;50;209;693;24;8;27;7;24;100;92;8;92;0,92;17;0;15;2;54;13681;253;781;14,46;177;733;655;63;15;276107;138053,5;0,5;1;2421;1210,5;2;163;81,5;19;9,5;80,1;40,05;2422;1;1;517
2;2;0;0;2;0;0;10;9;1;0;9;0;0;6;5;0,83;7445;1240,83;18;144;4;7;0;15;3;0;14;7;33;17;16;44;1,33;1;0;1;0;88;1813;21;144;1,64;158;34;28;3;3;42;42;0;0;0;0;1;0;0;10,6;10,6;2;2;0;1;1;94
98;4;51;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;4;25;0;0;1;6;0;1;2;0;40;34;6;80;2;8;0;6;0;65;1382;21;124;1,91;122;267;182;69;16;91345;45672,5;24,5;49;334;167;3;12;6;6,1;3,05;90,2;45,1;383;1;1;119
72;19;31;15;5;12;2,4;18;15;3;0;23;0;0;14;20;1,43;10583;755,93;40;1;0;1;0;1;0;0;4;1;8;4;4;25;3,13;0;0;0;0;90;2118;24;292;3,24;185;38;22;8;8;10562;5281;9;18;227;113,5;4;14;7;21,2;10,6;59,5;29,75;245;1;1;979
1;0;0;0;10;31;3,1;10;7;3;0;5;51;10,2;0;0;0;0;0;22;81;0;3;0;4;0;0;1;2;34;17;17;39;1,15;0;0;0;0;100;175;1,75;120;1,2;194;16;12;0;4;104762;34920,67;108,33;325;1844;614,67;3,67;74;24,67;62,4;20,8;63,5;21,17;2169;1;1;174
6;1;4;1;2;0;0;3;3;0;0;0;0;0;0;0;0;0;0;4;249;29;9;1;16;21;1;21;8;100;76;24;343;3,43;44;0;43;0;100;171;1,71;97;0,97;195;4;3;1;0;163;163;0;0;0;0;1;0;0;4,1;4,1;5,5;5,5;0;1;1;194
3;2;0;1;1;4;4;2;2;0;0;0;0;0;0;0;0;0;0;2;453;26;12;1;5;11;1;11;3;51;44;7;115;2,25;6;0;6;0;47;5124;109;194;4,13;82;37;27;9;1;182;182;0;0;13;13;1;0;0;21,9;21,9;19;19;25;1;4;1268
0;0;0;0;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;35;0;4;0;10;0;0;2;3;29;21;8;26;0,9;7;1;5;1;33;1433;43;119;3,61;63;54;35;12;7;447;447;4;4;0;0;2;0;0;12;12;21;21;4;1;1;59
