qtdActivityPostAnswer;QtdfActivityBadgeEarned;QtdActivityCommentPosted;qtsActivityQUestionPosted;qtdANswe;qtdTotalScoreAnswer;avgScoreANsw;qtdTotalBadges;QtdTotalBadgesBronze;qtdTotalBadgesSilver;qtdTotalBadgesGo;qtdComment;qtdTotalScoreCommen;AvgScoreCommen;qtdQuestion;QtdTotalScoreQuesdti;avgScoreQuesti;QtdTotalViewsQuestion;avgQTdViewsQUesti;userScore;qtdCommitContributions;qtdIssueContributions;qtdPullRequestContributions;qtdPullRequestReviewContributions;qtdRepositoriesWithContributedCommits;qtdRepositoriesWithContributedIssues;qtdRepositoriesWithContributedPullRequestReviews;qtdRepositoryContributions;qtdRepositoriesWithContributedPullRequests;qtdissue;qtdIssueClosed;qtdIssueOpen;QTdtoalComentsIssue;avgIssueComment;QtdIssueReaction;qtdIssueReactionHeatr;issueReactionthumbsUP;qtsIssueReactionHooray;qtdRepository;qtdTotalStars;avgQtdSTartRepository;QtdtotalWatchers;avgQtdWatchersRepository;qtdRepositoryLanguages;qtdPullRequests;qtdPullRequestsmergedAndClosed;qtdpullrequestsclosedandnotmerged;qtdpullrequestnotmergedandopen;sum(ncloc);avg(ncloc);avg(qtdBugs);sum(qtdBugs);sum(qtdCodeSmells);avg(qtdCodeSmells);avg(reliabilityRating);sum(qtdDuplicatedFiles);avg(qtdDuplicatedFiles);sum(commentLinesDensity);avg(commentLinesDensity);sum(fileComplexity);avg(fileComplexity);sum(qtdViolation);avg(manutenibilityRating);avg(securityRating);qtdFollowers
1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3;711;54;101;59;48;30;18;27;25;100;86;14;574;5,74;3;0;3;0;100;620;6,2;77;0,77;213;91;74;14;3;335;33,5;0,1;1;2;0,2;1,1;2;0,2;105,6;10,56;13;1,3;3;1;1;212
0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;4;352;22;0;0;16;5;0;0;0;100;95;5;78;0,78;0;0;0;0;75;1249;17;225;3;185;180;139;24;17;50;25;0;0;0;0;1;0;0;22,6;11,3;2;1;0;1;1;637
0;0;0;0;2;-1;-0,5;3;3;0;0;1;0;0;0;0;0;0;0;2;1026;10;21;17;26;9;3;14;13;100;83;17;661;6,61;43;3;39;1;100;19734;197;374;3,74;264;295;176;77;42;607;86,71;0,14;1;10;1,43;1,29;2;0,29;118,3;19,72;21,2;3,03;11;1;1;217
0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;167;56;19;6,33;7;3;2;0;1;2;1;0;0;0;0;1;0;0;0;0;1;0,5;0;1;1;10
17;8;3;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;229;20;38;5;20;12;4;10;18;100;81;19;314;3,14;25;0;25;0;83;684;8,24;96;1,16;211;131;116;14;1;73;36,5;0;0;2;1;1;0;0;10,5;5,25;6,5;3,25;2;1;1;64
0;0;0;0;3;0;0;4;4;0;0;5;0;0;6;7;1,17;2558;426,33;9;423;72;322;564;21;17;10;11;11;100;79;21;673;6,73;13;3;10;0;100;47575;476;854;8,54;225;531;401;84;46;10;10;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1826
0;0;0;0;46;146;3,17;319;167;117;35;394;43;0,11;493;2408;4,88;2144110;4349,11;354;953;33;63;2;33;10;2;18;15;100;57;43;191;1,91;55;0;37;16;100;20955;210;350;3,5;192;428;262;52;114;148;148;0;0;2;2;1;0;0;1,3;1,3;9,5;9,5;2;1;1;1690
2;1;0;0;4;56;14;18;9;9;0;3;0;0;1;4;4;2707;2707;9;976;13;474;21;71;9;15;11;60;100;100;0;44;0,44;1;1;0;0;79;364;4,61;66;0,84;263;739;491;226;22;77;77;1;1;2;2;3;0;0;1,3;1,3;2;2;3;1;1;201
15;3;9;3;1;0;0;4;4;0;0;0;0;0;1;2;2;29;29;3;54;7;12;23;12;7;11;8;8;100;65;35;211;2,11;1;0;1;0;100;5116;51;250;2,5;219;148;128;7;13;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;459
10;5;1;3;3;-1;-0,33;6;6;0;0;4;0;0;2;2;1;1126;563;12;1355;62;7;48;35;8;4;26;5;95;54;41;347;3,65;354;22;188;21;100;17470;175;433;4,33;233;670;359;114;197;66;66;0;0;1;1;1;0;0;0;0;13;13;1;1;1;16499
2;1;0;1;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;3;0;7;5;2;12;1,71;0;0;0;0;100;1295;12,95;176;1,76;185;1;0;1;0;95;47,5;0;0;9;4,5;1;0;0;59,5;29,75;15;7,5;9;1;1;352
18;11;3;4;8;2;0,25;15;12;3;0;19;5;0,26;17;11;0,65;14385;846,18;32;242;31;7;0;25;12;0;12;5;100;57;43;98;0,98;9;0;9;0;92;2113;23;293;3,18;203;58;48;10;0;12372;6186;5,5;11;147;73,5;5;12;6;12,2;6,1;41,1;20,55;169;1;5;371
4;1;2;0;8;3;0,38;12;8;2;2;6;0;0;6;9;1,5;31832;5305,33;33;184;1;0;4;6;1;4;1;0;79;54;25;145;1,84;61;0;9;1;100;1334;13;159;1,59;236;183;165;9;9;226;226;0;0;0;0;1;0;0;28,9;28,9;7,1;7,1;0;1;1;104
0;0;0;0;2;1;0,5;3;3;0;0;1;6;6;0;0;0;0;0;6;15;1;1;1;4;1;1;2;1;8;6;2;27;3,38;3;0;2;0;37;7101;192;622;16,81;55;84;46;29;9;71;71;0;0;12;12;1;0;0;5,3;5,3;8;8;12;1;1;1358
4;1;2;1;1;1;1;6;6;0;0;2;1;0,5;2;2;1;3629;1814,5;7;175;0;3;3;23;0;1;2;2;41;39;2;169;4,12;3;0;3;0;100;5081;51;409;4,09;161;161;128;32;1;146287;146287;342;342;1939;1939;5;87;87;21,4;21,4;36,6;36,6;2281;1;1;1074
0;0;0;0;1;-1;-1;4;4;0;0;2;0;0;2;1;0,5;2950;1475;6;3;0;0;0;1;0;0;8;0;26;15;11;140;5,38;0;0;0;0;100;14081;141;697;6,97;192;66;50;6;10;28;28;0;0;1;1;1;0;0;0;0;4;4;1;1;1;3894
5;2;1;0;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;3;322;17;15;2;17;2;2;15;5;17;7;10;119;7;0;0;0;0;19;1170;62;66;3,47;23;36;34;2;0;15;15;0;0;0;0;1;0;0;21,1;21,1;0;0;0;1;1;156
11;5;3;3;3;4;1,33;4;4;0;0;0;0;0;0;0;0;0;0;10;794;3;4;20;31;3;6;52;4;20;15;5;256;12,8;107;13;67;10;100;1454;15;168;1,68;264;182;169;5;8;21;21;0;0;0;0;1;0;0;0;0;4;4;0;1;1;450
0;0;0;0;87;119;1,37;37;22;15;0;92;41;0,45;8;2;0,25;4260;532,5;152;1014;85;48;18;83;24;7;39;29;100;88;12;155;1,55;12;0;12;0;100;308;3,08;101;1,01;306;215;143;32;40;2854;951,33;9,67;29;44;14,67;2;3;1;9,7;3,23;22,7;7,57;74;1;2;871
0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;3;3;312;312;6;13;9;0;0;1;4;0;14;0;9;5;4;8;0,89;0;0;0;0;39;3796;97;122;3,13;127;9;0;2;7;73;73;0;0;1;1;1;0;0;9,9;9,9;4;4;1;1;1;80
3;2;0;0;3;7;2,33;3;3;0;0;1;0;0;0;0;0;0;0;11;319;192;176;509;24;15;24;7;18;100;87;13;120;1,2;5;2;3;0;100;1839;18;591;5,91;217;1150;951;183;16;162;81;3;6;0;0;3;0;0;9;4,5;1,8;0,9;6;1;1;227
0;0;0;0;2;7;3,5;8;7;1;0;4;0;0;2;2;1;3106;1553;10;4294;174;679;516;188;70;84;15;157;100;100;0;250;2,5;0;0;0;0;45;22318;496;456;10,13;72;759;516;237;6;366;366;0;0;7;7;1;0;0;24,1;24,1;6,2;6,2;7;1;1;5480
2;1;0;1;5;1;0,2;1;1;0;0;0;0;0;0;0;0;0;0;5;339;4;2;0;24;3;0;6;2;59;44;15;84;1,42;15;0;15;0;75;2177;29;309;4,12;104;247;178;51;18;155;51,67;0;0;6;2;1;0;0;41,4;13,8;43;14,33;6;1;1;460
0;0;0;0;6;2;0,33;11;11;0;0;29;4;0,14;8;3;0,38;5296;662;19;2735;2;5;1;144;2;1;47;5;6;4;2;17;2,83;0;0;0;0;100;45;0;75;0,75;146;1;0;0;1;26;26;1;1;0;0;3;0;0;0;0;1;1;1;1;1;144
0;0;0;0;2;6;3;4;3;1;0;1;0;0;1;0;0;747;747;5;24;0;5;1;6;0;1;4;2;100;95;5;139;1,39;0;0;0;0;100;451;4,51;134;1,34;209;78;50;26;2;735;367,5;0;0;19;9,5;1;0;0;27,4;13,7;32,6;16,3;20;1;3;214
0;0;0;0;244;315;1,29;46;26;19;1;512;148;0,29;3;0;0;4115;1371,67;325;89;1;1;0;7;1;0;17;1;16;13;3;42;2,63;0;0;0;0;59;11455;194;727;12,32;136;121;74;37;10;3030;3030;0;0;219;219;1;5;5;8,6;8,6;14,9;14,9;219;1;1;536
1;1;0;0;1;-1;-1;4;4;0;0;0;0;0;0;0;0;0;0;4;102;4;28;1;6;4;1;3;6;100;85;15;342;3,42;40;2;38;0;100;1794;18;218;2,18;241;162;143;15;4;34;34;0;0;0;0;1;0;0;0;0;4;4;0;1;1;233
0;0;0;0;1;0;0;1;1;0;0;0;0;0;2;2;1;129;64,5;5;37;0;0;0;3;0;0;3;0;4;4;0;23;5,75;0;0;0;0;12;572;48;57;4,75;29;2;2;0;0;13;13;0;0;0;0;1;0;0;0;0;1;1;0;1;1;57
16;5;6;4;32;28;0,88;18;14;4;0;19;2;0,11;1;1;1;365;365;26;156;2;14;90;16;2;10;10;5;88;69;19;190;2,16;12;5;7;0;54;1490;28;240;4,44;103;630;533;86;10;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;235
0;0;0;0;8;4;0,5;4;4;0;0;8;0;0;1;0;0;685;685;26;28;4;8;1;5;4;1;7;4;80;57;23;176;2,2;16;0;15;1;64;1155;18;76;1,19;127;258;178;44;36;124;124;5;5;2;2;3;0;0;0,8;0,8;1,5;1,5;7;1;1;69
35;12;5;0;128;757;5,91;104;57;39;8;92;56;0,61;40;268;6,7;165458;4136,45;195;55;0;0;0;3;0;0;3;0;30;20;10;106;3,53;35;0;35;0;53;180;3,4;43;0,81;88;33;15;0;18;12776;6388;18;36;280;140;2;12;6;49,5;24,75;30,6;15,3;316;1;1;43
0;0;0;0;3;2;0,67;4;4;0;0;0;0;0;0;0;0;0;0;10;24;0;0;0;2;0;0;0;0;1;1;0;1;1;0;0;0;0;71;713;10,04;121;1,7;135;64;23;22;19;56;28;0;0;0;0;1;0;0;2,4;1,2;10;5;0;1;1;36
2;2;0;0;468;635;1,36;61;37;22;2;649;164;0,25;18;8;0,44;6097;338,72;400;632;20;44;5;27;14;2;7;12;90;56;34;72;0,8;34;0;24;2;59;1976;33;125;2,12;179;301;227;64;10;36;36;0;0;0;0;1;0;0;14,3;14,3;5;5;0;1;1;91
0;0;0;0;7;5;0,71;2;2;0;0;1;0;0;1;-1;-1;97;97;13;98;4;6;5;16;2;5;12;4;51;34;17;99;1,94;5;0;4;0;100;575;5,75;214;2,14;255;129;107;11;11;163;163;0;0;2;2;1;0;0;3,6;3,6;14;14;2;1;1;146
0;0;0;0;4;4;1;8;7;1;0;0;0;0;1;2;2;170;170;15;321;52;24;0;28;16;0;27;18;100;84;16;449;4,49;2;0;2;0;100;660;6,6;259;2,59;236;182;158;15;9;4693;4693;7;7;267;267;5;23;23;13,7;13,7;18,1;18,1;274;1;1;1200
0;0;0;0;4;1;0,25;9;9;0;0;13;0;0;7;0;0;2042;291,71;22;1;0;0;0;1;0;0;0;0;4;3;1;8;2;0;0;0;0;34;98;2,88;49;1,44;85;14;1;5;8;146;73;0,5;1;11;5,5;2;0;0;16,6;8,3;15,3;7,65;12;1;1;25
2;2;0;0;1;0;0;7;7;0;0;5;1;0,2;8;3;0,38;5714;714,25;14;155;12;43;115;22;5;9;20;14;100;77;23;230;2,3;24;0;24;0;100;189;1,89;104;1,04;273;61;55;5;1;8;8;0;0;2;2;1;0;0;0;0;1;1;2;2;1;1225
3;2;0;1;2;0;0;24;19;5;0;75;9;0,12;42;28;0,67;22313;531,26;105;73;20;4;0;16;12;0;17;3;90;59;31;147;1,63;31;4;17;5;100;3136;31;303;3,03;213;63;11;12;40;40;40;1;1;3;3;5;0;0;0;0;8;8;4;1;1;457
0;0;0;0;12;6;0,5;8;8;0;0;9;1;0,11;2;8;4;1906;953;32;12;0;10;1;3;0;1;4;3;100;58;42;55;0,55;0;0;0;0;100;170;1,7;157;1,57;191;27;24;1;2;33;33;0;0;0;0;1;0;0;0;0;6;6;0;1;1;184
10;8;0;1;8;25;3,13;31;15;13;3;7;1;0,14;11;91;8,27;79147;7195,18;27;24;31;11;26;7;8;9;3;7;100;89;11;487;4,87;10;0;10;0;68;2155;32;77;1,13;112;227;165;51;11;23;23;0;0;0;0;1;0;0;28,1;28,1;0,7;0,7;0;1;1;125
13;7;1;2;13;23;1,77;12;9;3;0;20;1;0,05;2;-1;-0,5;330;165;28;2253;188;49;22;74;74;4;71;35;100;65;35;249;2,49;41;4;32;0;100;2573;26;91;0,91;161;177;158;12;7;102;51;0;0;1;0,5;1;0;0;6,3;3,15;15;7,5;1;1;1;217
0;0;0;0;4;6;1,5;22;17;5;0;33;1;0,03;28;24;0,86;27932;997,57;53;12;1;0;0;4;1;0;4;0;4;4;0;2;0,5;0;0;0;0;32;2473;77;113;3,53;60;2;1;1;0;60;60;0;0;1;1;1;0;0;26,8;26,8;16;16;1;1;1;334
19;7;7;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;1;0;0;8;0;11;1;29;15;14;75;2,59;9;0;4;1;100;13;0;105;1,05;225;1;1;0;0;751;375,5;0,5;1;22;11;2;2;1;28,6;14,3;27;13,5;23;1;1;33
0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1410;10;27;15;32;6;9;20;19;100;80;20;413;4,13;1;1;0;0;100;2360;24;170;1,7;282;150;113;22;15;144;72;0;0;8;4;1;0;0;31,3;15,65;37;18,5;8;1;1;1104
2;1;0;0;5;2;0,4;17;13;3;1;10;0;0;15;4;0,27;24284;1618,93;29;28;0;0;0;3;0;0;1;0;3;3;0;4;1,33;0;0;0;0;36;191;5,31;62;1,72;85;20;12;5;3;19;19;0;0;0;0;1;0;0;0;0;5;5;0;1;1;16
12;4;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;2;17;4;0;0;3;4;0;4;0;29;18;11;58;2;9;0;8;0;44;99;2,25;50;1,14;105;1;1;0;0;20;20;0;0;1;1;1;0;0;0;0;8;8;1;1;1;43
92;26;42;19;1;1;1;3;3;0;0;1;0;0;0;0;0;0;0;2;12;0;0;0;11;0;0;11;0;0;0;0;0;0;0;0;0;0;22;259;11,77;51;2,32;53;9;0;4;5;125;62,5;0;0;3;1,5;1;0;0;64,5;32,25;2;1;3;1;1;328
0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;507;12;246;522;41;3;57;7;26;62;46;16;107;1,73;7;0;7;0;94;268;2,85;113;1,2;183;183;172;4;7;7;7;0;0;0;0;1;0;0;0;0;1;1;0;1;1;42
0;0;0;0;18;48;2,67;23;15;8;0;67;14;0,21;9;5;0,56;8539;948,78;56;0;0;0;0;0;0;0;0;0;63;60;3;128;2,03;28;0;28;0;54;318;5,89;91;1,69;76;9;1;0;8;12;12;0;0;0;0;1;0;0;0;0;2;2;0;1;1;77
27;9;7;6;1;-1;-1;3;3;0;0;4;2;0,5;3;1;0,33;2086;695,33;8;25;0;3;10;3;0;1;3;1;85;54;31;106;1,25;6;0;6;0;72;243;3,38;62;0,86;107;104;73;30;1;38;19;0;0;1;0,5;1;0;0;0;0;2;1;1;1;1;49
0;0;0;0;1;0;0;1;1;0;0;3;0;0;1;0;0;35;35;3;132;38;130;49;4;3;1;2;1;100;98;2;283;2,83;15;0;15;0;51;634;12,43;130;2,55;140;33;12;15;6;22;22;0;0;0;0;1;0;0;0;0;3;3;0;1;1;188
5;2;1;2;3;0;0;2;2;0;0;2;0;0;1;0;0;96;96;7;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;46;54;1,17;46;1;124;23;3;3;17;15;15;0;0;0;0;1;0;0;11,8;11,8;3;3;0;1;1;6
0;0;0;0;2;0;0;5;5;0;0;1;0;0;6;2;0,33;4591;765,17;18;2;2;5;0;1;2;0;5;3;5;4;1;17;3,4;0;0;0;0;51;93;1,82;49;0,96;134;2;1;1;0;78;78;0;0;3;3;1;0;0;0;0;28;28;3;1;1;19
0;0;0;0;15;3;0,2;29;23;6;0;77;9;0,12;45;34;0,76;30186;670,8;107;27;0;11;0;2;0;0;1;1;3;1;2;5;1,67;1;0;1;0;44;126;2,86;64;1,45;72;3;2;0;1;7259;7259;0;0;174;174;1;13;13;13,5;13,5;40,1;40,1;174;1;1;71
0;0;0;0;4;69;17,25;12;5;7;0;1;0;0;0;0;0;0;0;13;209;6;1;2;25;3;2;2;1;100;91;9;105;1,05;10;0;10;0;100;3898;39;150;1,5;154;248;47;115;86;121;60,5;0;0;0;0;1;0;0;6,6;3,3;6;3;0;1;1;260
0;0;0;0;1;1;1;10;9;1;0;26;1;0,04;16;2;0,13;11360;710;16;2274;83;69;21;34;15;14;20;22;100;69;31;309;3,09;4;0;3;0;100;2295;23;271;2,71;303;289;185;81;23;22;11;0;0;0;0;1;0;0;0;0;10;5;0;1;1;241
17;6;7;4;1;0;0;6;6;0;0;5;1;0,2;2;1;0,5;666;333;8;192;44;19;4;18;20;1;9;7;47;27;20;160;3,4;36;3;32;0;51;315;6,18;85;1,67;79;32;24;3;5;2;2;0;0;0;0;1;0;0;60;60;0;0;0;1;1;66
0;0;0;0;1;5;5;2;1;1;0;0;0;0;0;0;0;0;0;4;502;17;48;1;25;4;1;20;6;43;30;13;26;0,6;5;1;2;1;100;447;4,47;111;1,11;133;229;143;16;70;94;31,33;0;0;1;0,33;1;0;0;1,6;0,8;18,5;6,17;1;1;1;50
0;0;0;0;12;2;0,17;4;4;0;0;3;0;0;0;0;0;0;0;15;0;1;0;0;0;1;0;0;0;67;57;10;259;3,87;4;0;4;0;44;224;5,09;55;1,25;155;70;62;7;1;824;824;0;0;9;9;1;0;0;19,2;19,2;6,8;6,8;9;1;1;108
2;1;0;0;10;2;0,2;11;10;1;0;11;0;0;8;2;0,25;5450;681,25;41;81;1;16;5;34;1;2;4;6;87;66;21;145;1,67;10;0;9;0;45;373;8,29;63;1,4;121;62;51;6;5;14;14;0;0;0;0;1;0;0;0;0;2;2;0;1;1;43
0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;218;0;1;0;24;0;0;28;1;0;0;0;0;0;0;0;0;0;73;1297;18;120;1,64;160;55;1;10;44;77;38,5;4;8;0;0;3;0;0;0;0;2;1;8;1;1;1501
13;2;7;4;1;0;0;3;3;0;0;1;0;0;1;0;0;63;63;3;0;4;0;0;0;1;0;0;0;63;49;14;85;1,35;2;0;2;0;43;14656;341;364;8,47;85;89;37;38;14;58;58;1;1;2;2;3;0;0;12,1;12,1;1,7;1,7;3;1;1;758
0;0;0;0;2;0;0;2;2;0;0;0;0;0;1;1;1;429;429;8;229;3;25;143;5;2;4;1;2;100;78;22;448;4,48;19;1;17;0;100;36408;364;712;7,12;192;325;175;114;36;438;73;0,17;1;13;2,17;1,33;0;0;22,6;3,77;82;13,67;14;1;1;244
0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;78;2;1;0;6;2;0;4;1;17;13;4;87;5,12;3;0;2;0;83;5069;61;276;3,33;115;106;32;34;40;252;50,4;0,4;2;6;1,2;1,4;0;0;68,8;13,76;68;13,6;8;1;1;313
19;8;5;1;5;15;3;16;13;3;0;17;9;0,53;4;8;2;8502;2125,5;20;1;0;3;6;1;0;1;0;1;11;11;0;25;2,27;3;0;3;0;16;10255;641;316;19,75;34;188;138;42;8;681;681;0;0;38;38;1;0;0;13,5;13,5;13,2;13,2;38;1;1;313
5;3;1;1;27;141;5,22;41;22;19;0;8;9;1,13;3;15;5;4767;1589;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1790;99;91;5,06;46;16;1;3;12;1935;1935;0;0;104;104;1;1;1;30,7;30,7;33,2;33,2;104;1;1;379
2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;407;2;5;0;35;2;0;31;5;25;16;9;63;2,52;0;0;0;0;64;347;5,42;97;1,52;144;112;93;19;0;516;516;1;1;1;1;3;0;0;0,8;0,8;5,6;5,6;2;1;1;55
0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;617;9;2;4;5;6;1;5;1;38;32;6;193;5,08;6;0;6;0;76;305;4,01;90;1,18;168;102;31;71;0;6;6;0;0;0;0;1;0;0;0;0;0;0;0;1;1;18
1;1;0;0;15;10;0,67;14;13;1;0;39;3;0,08;13;9;0,69;3670;282,31;58;1116;97;351;60;88;32;21;20;50;100;93;7;219;2,19;0;0;0;0;100;101;1,01;34;0,34;259;105;47;25;33;132;66;0;0;0;0;1;0;0;22,8;11,4;15;7,5;0;1;1;2148
0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;921;3;17;0;26;2;0;18;4;4;2;2;4;1;0;0;0;0;29;2180;75;48;1,66;68;17;7;9;1;121;121;7;7;3;3;3;0;0;0;0;3,5;3,5;10;1;1;75
9;4;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;1;0;0;0;0;33;27;6;143;4,33;7;0;7;0;48;2782;58;173;3,6;160;90;2;68;20;620;620;0;0;5;5;1;0;0;27,5;27,5;1;1;5;1;1;222
0;0;0;0;2;1;0,5;2;2;0;0;0;0;0;0;0;0;0;0;4;1131;66;10;17;10;5;3;2;4;100;82;18;139;1,39;97;2;94;1;83;5389;65;848;10,22;216;391;262;63;66;5;5;0;0;1;1;1;0;0;37,5;37,5;1;1;1;2;1;617
4;2;1;1;1072;2563;2,39;104;61;41;2;2710;1277;0,47;0;0;0;0;0;427;273;29;25;1;12;12;1;10;5;77;63;14;239;3,1;33;0;31;0;100;8739;87;380;3,8;295;115;96;12;7;88;44;0;0;0;0;1;0;0;2,9;1,45;12;6;0;1;1;17
0;0;0;0;7;3;0,43;7;7;0;0;11;0;0;4;4;1;621;155,25;18;24;1;5;1;10;1;1;2;4;29;29;0;186;6,41;3;0;3;0;19;343;18;33;1,74;32;44;40;3;1;58;58;0;0;0;0;1;0;0;1,7;1,7;11;11;0;1;1;43
8;2;3;2;1;7;7;3;3;0;0;2;0;0;2;0;0;152;76;13;8;1;0;0;1;1;0;1;0;89;64;25;225;2,53;2;0;2;0;71;2462;35;165;2,32;136;159;99;35;25;9;9;0;0;1;1;1;0;0;0;0;1;1;1;1;1;154
0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;491;491;2;0;0;0;0;0;0;0;0;0;4;3;1;18;4,5;0;0;0;0;19;3706;195;279;14,68;52;54;51;3;0;485;485;0;0;35;35;1;0;0;21,4;21,4;26,5;26,5;35;1;1;558
91;34;25;20;11;35;3,18;21;17;4;0;11;6;0,55;0;0;0;0;0;0;48;0;6;0;7;0;0;3;3;12;10;2;10;0,83;0;0;0;0;76;358;4,71;109;1,43;131;122;89;22;11;10;10;0;0;0;0;1;0;0;0;0;1;1;0;1;1;28
2;1;0;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;4;57;2;0;2;9;2;2;1;0;17;14;3;33;1,94;6;0;6;0;100;2941;29;229;2,29;220;104;65;16;23;433;144,33;2;6;16;5,33;1,67;0;0;9,2;3,07;70;23,33;22;1;1;2539
0;0;0;0;27;78;2,89;17;14;3;0;28;5;0,18;5;-1;-0,2;2615;523;49;156;3;2;0;7;3;0;9;2;19;15;4;57;3;3;0;3;0;58;643;11,09;80;1,38;159;123;92;17;14;81;81;0;0;2;2;1;0;0;0;0;13;13;2;1;1;108
0;0;0;0;6;3;0,5;4;4;0;0;0;0;0;0;0;0;0;0;21;30;10;5;0;3;1;0;1;1;100;95;5;9;0,09;1;0;0;0;28;797;28;102;3,64;56;160;142;15;3;634;634;1;1;7;7;4;0;0;8,6;8,6;2,3;2,3;8;1;1;47
4;0;3;1;2;6;3;2;2;0;0;0;0;0;0;0;0;0;0;6;233;6;17;1;14;5;1;13;5;60;46;14;154;2,57;23;0;10;0;68;601;8,84;87;1,28;144;230;187;34;9;847;423,5;0;0;0;0;1;0;0;7,5;3,75;91;45,5;0;1;1;62
98;5;58;9;1;1;1;3;3;0;0;0;0;0;1;1;1;43;43;6;437;294;0;0;4;3;0;8;0;100;94;6;18;0,18;2;0;2;0;100;4540;45;623;6,23;173;18;2;3;13;86;86;1;1;2;2;3;0;0;8,5;8,5;26;26;3;1;1;2425
0;0;0;0;1;2;2;37;23;11;3;24;0;0;44;50;1,14;84527;1921,07;54;11;3;1;3;3;3;1;6;1;11;7;4;17;1,55;1;0;0;0;48;2416;50;269;5,6;108;53;35;9;9;18;18;0;0;2;2;1;0;0;18,2;18,2;3;3;2;1;1;248
0;0;0;0;21;86;4,1;23;14;9;0;12;7;0,58;1;0;0;2090;2090;26;0;0;0;0;0;0;0;3;0;1;1;0;1;1;0;0;0;0;18;752;42;64;3,56;33;8;5;2;1;29715;29715;4;4;341;341;5;12;12;38,8;38,8;22,4;22,4;345;1;1;73
4;2;1;1;3;3;1;13;12;1;0;42;0;0;12;-3;-0,25;9072;756;28;299;3;1;2;27;3;2;9;1;94;77;17;351;3,73;11;0;7;0;100;3337;33;209;2,09;169;189;145;39;5;5;5;0;0;0;0;1;0;0;16,7;16,7;1;1;0;1;1;223
93;22;46;14;1;0;0;2;2;0;0;4;0;0;2;0;0;1409;704,5;12;44;0;3;0;4;0;0;3;3;27;24;3;36;1,33;0;0;0;0;37;1908;52;243;6,57;125;69;51;9;9;4143;4143;0;0;58;58;1;6;6;16,1;16,1;21,4;21,4;58;1;1;273
2;1;0;0;5;4;0,8;4;4;0;0;3;0;0;2;0;0;2032;1016;14;164;0;0;0;12;0;0;5;0;2;2;0;13;6,5;0;0;0;0;29;629;22;113;3,9;54;12;5;7;0;253;50,6;0;0;3;0,6;1;0;0;0;0;29,5;5,9;3;1;1;52
28;14;10;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;32;4;26;8;8;4;3;18;10;29;26;3;76;2,62;6;0;6;0;61;403;6,61;73;1,2;210;8;2;1;5;206;103;0;0;26;13;1;0;0;15,2;7,6;32;16;28;1;2,5;21
0;0;0;0;2;3;1,5;8;8;0;0;10;1;0,1;3;0;0;541;180,33;3;117;6;2;3;15;4;3;8;2;83;75;8;127;1,53;4;1;2;0;64;529;8,27;142;2,22;137;59;44;8;7;15;15;0;0;0;0;1;0;0;11,8;11,8;3;3;0;1;1;368
0;0;0;0;31;246;7,94;52;26;26;0;50;6;0,12;16;47;2,94;34511;2156,94;88;137;18;37;10;7;3;4;8;9;100;69;31;134;1,34;0;0;0;0;100;1921;19;180;1,8;220;301;285;12;4;758;252,67;2;6;1;0,33;2,67;0;0;6,7;2,23;7;2,33;7;1;1;507
11;7;1;1;1;0;0;9;8;1;0;9;0;0;7;5;0,71;6545;935;14;96;4;3;0;12;3;0;14;2;27;18;9;84;3,11;27;0;27;0;80;923;11,54;155;1,94;129;93;57;21;15;58;19,33;0;0;2;0,67;1;0;0;5,3;1,77;7,5;2,5;2;1;1;114
